Player,Yr.,Pos.,Old Team,New Team,Stats
Davis Fry,So,F,Mercyhurst,,"1-0—1, -3"
Christian Humphreys,Fr,F,Michigan,,"0-1—1, -2"
Billy Norcross,So,F,Northeastern,,"0-1—1, -1"
Cole Helm,So,F,Arizona State,,"0-1—1, +1"
J.D. Metz,So,F,St. Thomas,,"0-1—1, 0"
Ethan Ullrick,So,F,Air Force,,"1-0—1, -5"
Douglas Andersson,So,F,American Int'l,,"0-1—1, -3"
Tanyon Bajzer,So,F,Miami,,"0-0—0, -5"
Kade Nielsen,So,F,Minnesota State,,"0-0—0, 0"
Jordan Hughesman,Fr,F,Merrimack,,"0-0—0, -1"
Matteo Pecchia,Sr,F,Alaska,,"0-0—0, -1"
Bryce Monrean,Fr,F,Alaska,,"0-0—0, 0"
Adam Schankula,So,F,Bowling Green,,"0-0—0, 0"
Cameron Ricotta,So,F,Mercyhurst,,"0-0—0, -4"
Connor Brown,Fr,F,Western Michigan,,"0-0—0, 0"
Ryan Kusler,Fr,F,Western Michigan,,"0-0—0, 0"
Ryan Humphrey,Fr,F,Western Michigan,,"0-0—0, 0"
Sam Rice,Fr,F,Minnesota State,,"0-0—0, 0"
Roc Truman,Jr,F,Mass.-Lowell,,"0-0—0, 0"
Elijah Pilosof,So,F,Union,,"0-0—0, 0"
Jack Budd,So,D,Canisius,,"1-10—11, -8"
Jakob Peterson,Jr,D,Northern Michigan,,"2-4—6, -14"
Will Diamond,Fr,D,Northern Michigan,,"1-0—1, -4"
Luke Amell,Fr,D,Sacred Heart,,"1-0—1, 0"
Trevor Mitchell,Fr,D,Northern Michigan,,"0-1—1, -8"
Brody Maguire,Fr,D,Rensselaer,,"0-1—1, -3"
John Larkin,Jr,D,Ohio State,,"0-0—0, 0"
Nick O'Hanisain,So,D,Bowling Green,,"0-0—0, 0"
Caden Lewandowski,Sr,D,Clarkson,,"0-0—0, -1"
Shawn Ramsey,Fr,D,Lindenwood,,"0-0—0, -10"
Jimmy Rayhill,Sr,D,Cornell,,"0-1—1, 0"
Tyler Waram,Fr,D,Alaska,,"0-0—0, 0"
Tyriq Outen,Jr,G,Long Island,,"14 gm, 1.93, .920"
Ethan David,Fr,G,RIT,,"12 gm, 2.68, .909"
Peyton Grainer,So,G,American Int'l,,"12 gm, 3.19, .893"
Keenan Rancier,Gr,G,Vermont,,"14 gm, 3.37, .885"
Cullen DeYoung,So,G,Sacred Heart,,"15 gm, 3.22, .885"
Thomas Heaney,Fr,G,Connecticut,,"3 gm, 4.39, .867"
Ethan Barwick,Fr,G,Northern Michigan,,"6 gm, 4.33, .869"
Noah Altman,Sr,G,Quinnipiac,,"3 gm, 0.00, 1.000"
Joey LoVullo,Fr,G,American Int'l,,"1 gm, 0.00, .000"
Jack O'Dea,Sr,G,Sacred Heart,,"1 gm, 0.00, 1.000"
Max Prazma,So,G,St. Thomas,,"0 gm, 0.00, .000"
Reilly Herbst,Sr,G,Ohio State,,"0 gm, 0.00, .000"
Harrison Chesney,Jr,G,Northeastern,,"0 gm, 0.00, .000"
