Clean_Player,Team,G,A,Pts,plus_minus,Sh,TOI_sec,PIM,FOW,FOL,Games_Played,FO%,TOI
Wyatt Schlaht,Brown,0,0,0,-2,4,3589.0,2,1.0,1.0,11,50.0,00:59:49
Xan Gurney,Long Island,0,0,0,1,2,1020.0,15,0.0,0.0,2,,00:17:00
Xavier Henry,Vermont,4,6,10,-12,23,24393.0,10,0.0,0.0,26,,06:46:33
Xavier Jean-Louis,Ferris State,2,4,6,3,30,29344.0,14,0.0,0.0,30,,08:09:04
Xavier Lapointe,RIT,5,10,15,-5,50,30552.0,45,0.0,0.0,27,,08:29:12
Zaccharya Wisdom,Colorado College,8,13,21,3,81,33850.0,12,2.0,7.0,36,22.22222222222222,09:24:10
Zach Aben,Stonehill,3,4,7,-19,48,24926.0,10,186.0,235.0,28,44.180522565320665,06:55:26
Zach Bade,Western Michigan,0,0,0,0,1,614.0,2,0.0,0.0,2,,00:10:14
Zach Bookman,Merrimack,3,14,17,-5,50,41985.0,22,0.0,0.0,33,,11:39:45
Zach Faremouth,Ferris State,8,5,13,-7,66,31876.0,17,324.0,218.0,33,59.77859778597786,08:51:16
Zach Hahn,New Hampshire,0,0,0,0,0,272.0,0,0.0,0.0,2,,00:04:32
Zach Krajnik,Minnesota State,6,8,14,9,61,33075.0,6,2.0,8.0,39,20.0,09:11:15
Zach Michaelis,Northern Michigan,1,2,3,-13,37,20109.0,0,1.0,0.0,27,100.0,05:35:09
Zach Nehring,Western Michigan,13,17,30,18,82,40166.0,29,1.0,2.0,42,33.33333333333333,11:09:26
Zach Nicolas,Stonehill,2,4,6,-10,11,14129.0,2,64.0,98.0,18,39.50617283950617,03:55:29
Zach Plucinski,Notre Dame,0,3,3,-9,23,29233.0,18,1.0,0.0,34,100.0,08:07:13
Zach Sandy,Minnesota-Duluth,0,0,0,0,0,0.0,0,0.0,0.0,4,,00:00:00
Zach Schulz,Wisconsin,2,9,11,0,30,28929.0,10,0.0,0.0,28,,08:02:09
Zach Urdahl,Omaha,12,10,22,4,94,34119.0,6,3.0,2.0,33,60.0,09:28:39
Zach Wagnon,Yale,3,11,14,-6,45,28547.0,18,174.0,170.0,30,50.58139534883721,07:55:47
Zachary Borgiel,Providence,0,0,0,0,0,0.0,0,0.0,0.0,12,,00:00:00
Zack Sharp,Western Michigan,5,4,9,19,60,42934.0,12,0.0,0.0,42,,11:55:34
Zackary Tonelli,Brown,2,0,2,-1,25,17540.0,6,1.0,4.0,25,20.0,04:52:20
Zakary Karpa,Harvard,1,6,7,-6,32,27412.0,8,257.0,233.0,31,52.44897959183673,07:36:52
Zam Plante,Minnesota-Duluth,7,13,20,1,97,37959.0,0,213.0,177.0,33,54.61538461538461,10:32:39
Zane Demsey,Miami,1,2,3,-11,11,22029.0,40,0.0,0.0,28,,06:07:09
Zeev Buium,Denver,13,35,48,17,88,66552.0,44,0.0,0.0,41,,18:29:12
